2019-08-18 16:14:50,751 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 4.4298895884494793e-20
2019-08-18 16:14:50,752 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.9005181887381322e-22
2019-08-18 16:14:50,753 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:14:50,755 ; DEBUG    ; MainLogger ; spiral_feature_extraction ; CT's feature extraction 9
2019-08-18 16:14:50,756 ; DEBUG    ; MainLogger ; spiral_feature_extraction ; Saving CT's residual feature extraction in output/archimedean.h5
2019-08-18 16:14:50,759 ; DEBUG    ; MainLogger ; reader_and_writer ; Creating dataset rd_ct_fe into file output/archimedean.h5
2019-08-18 16:16:30,817 ; DEBUG    ; MainLogger ; spiral_feature_extraction ; Starting feature extraction from archimedean spirals
2019-08-18 16:16:30,819 ; DEBUG    ; MainLogger ; spiral_feature_extraction ; Loading control files
2019-08-18 16:16:30,950 ; DEBUG    ; MainLogger ; spiral_feature_extraction ; Loading ET files 27
2019-08-18 16:16:31,243 ; DEBUG    ; MainLogger ; spiral_feature_extraction ; CT's residual radio calculation 27
2019-08-18 16:16:31,258 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 4.834030647877921e-12
2019-08-18 16:16:31,260 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.406207041340147e-23
2019-08-18 16:16:31,263 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.2095708846628e-24
2019-08-18 16:16:31,264 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,265 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,289 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 3.1767284229450486e-11
2019-08-18 16:16:31,291 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 5.459506138084254e-22
2019-08-18 16:16:31,293 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.535204059472717e-23
2019-08-18 16:16:31,294 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,296 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,314 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 4.038811914356214e-11
2019-08-18 16:16:31,317 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 6.257605178338828e-22
2019-08-18 16:16:31,319 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.0777845561497434e-23
2019-08-18 16:16:31,320 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,322 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,348 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 4.917440289515108e-10
2019-08-18 16:16:31,350 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 7.832020441090563e-20
2019-08-18 16:16:31,352 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 6.510978716509096e-22
2019-08-18 16:16:31,354 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,356 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,374 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.2643284912390158e-11
2019-08-18 16:16:31,376 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.075334796318936e-22
2019-08-18 16:16:31,378 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 2.3633866850126155e-24
2019-08-18 16:16:31,380 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,381 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,405 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.7659192816561335e-11
2019-08-18 16:16:31,407 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 2.805523869365463e-22
2019-08-18 16:16:31,409 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 8.884658770699715e-24
2019-08-18 16:16:31,410 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,412 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,431 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 4.011047961548204e-09
2019-08-18 16:16:31,433 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 7.067848359353108e-18
2019-08-18 16:16:31,434 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 5.6263313103040094e-21
2019-08-18 16:16:31,435 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,437 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,489 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.2371765866202707e-09
2019-08-18 16:16:31,490 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 3.1715790844923185e-19
2019-08-18 16:16:31,492 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.3004307381370077e-21
2019-08-18 16:16:31,493 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,495 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,517 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 2.941294756965759e-09
2019-08-18 16:16:31,518 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 3.237326676835629e-18
2019-08-18 16:16:31,520 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 5.330389250314026e-21
2019-08-18 16:16:31,522 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,524 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,546 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 5.1448789686149945e-12
2019-08-18 16:16:31,547 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.7938479887813308e-23
2019-08-18 16:16:31,550 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.5189327368584502e-24
2019-08-18 16:16:31,551 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,553 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,633 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.4103400938994551e-10
2019-08-18 16:16:31,635 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.4808404567612093e-20
2019-08-18 16:16:31,637 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 5.86632075031733e-23
2019-08-18 16:16:31,639 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,640 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,688 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.016845989170083e-11
2019-08-18 16:16:31,690 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 8.572843638829663e-23
2019-08-18 16:16:31,692 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 2.7152430475162207e-24
2019-08-18 16:16:31,693 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,695 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,716 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.83969017344717e-09
2019-08-18 16:16:31,718 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 6.32471965286225e-19
2019-08-18 16:16:31,719 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 1.7156769416561012e-21
2019-08-18 16:16:31,721 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,722 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,742 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.22359997904584e-11
2019-08-18 16:16:31,744 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 8.235155315537602e-23
2019-08-18 16:16:31,746 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 3.6731694640731125e-24
2019-08-18 16:16:31,747 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,748 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,801 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 7.500607271936334e-09
2019-08-18 16:16:31,802 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 3.7078697262875084e-17
2019-08-18 16:16:31,805 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 2.4663638310600928e-20
2019-08-18 16:16:31,806 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,808 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,827 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 2.8831017909535267e-10
2019-08-18 16:16:31,829 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 3.8224940004031436e-20
2019-08-18 16:16:31,831 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 3.1203160230698596e-22
2019-08-18 16:16:31,833 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,834 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,849 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.5252689837551244e-11
2019-08-18 16:16:31,850 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.9186061111761932e-22
2019-08-18 16:16:31,852 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 6.093212936598312e-24
2019-08-18 16:16:31,854 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,855 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:31,891 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 3.738067481674457e-11
2019-08-18 16:16:31,894 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 5.399080672489988e-22
2019-08-18 16:16:31,896 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 5.9064672043793034e-24
2019-08-18 16:16:31,897 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:31,899 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:32,019 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 3.718265288842541e-10
2019-08-18 16:16:32,021 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 6.992396204806003e-20
2019-08-18 16:16:32,023 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 3.8105985428765557e-22
2019-08-18 16:16:32,024 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:32,026 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:32,061 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 2.2170973794798384e-11
2019-08-18 16:16:32,063 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 4.6329055014421775e-22
2019-08-18 16:16:32,066 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 6.836142084897652e-24
2019-08-18 16:16:32,067 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:32,068 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:32,087 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.791496797849705e-11
2019-08-18 16:16:32,089 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 1.2307146024356149e-22
2019-08-18 16:16:32,091 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 6.411364252686877e-24
2019-08-18 16:16:32,092 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:32,094 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:32,112 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 6.366462912410498e-12
2019-08-18 16:16:32,114 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 2.39882377640378e-23
2019-08-18 16:16:32,116 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 2.0521296864138383e-24
2019-08-18 16:16:32,118 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:32,119 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:32,155 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.4532860207239473e-10
2019-08-18 16:16:32,157 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 6.530252584843157e-21
2019-08-18 16:16:32,159 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 5.784786888623747e-23
2019-08-18 16:16:32,161 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
2019-08-18 16:16:32,162 ; INFO     ; MainLogger ; arq_features ; Calculation of Maximum fractal length (MFL)
2019-08-18 16:16:32,212 ; DEBUG    ; MainLogger ; arq_features ; Timeseries' max is 1.3585610405092482e-10
2019-08-18 16:16:32,214 ; DEBUG    ; MainLogger ; arq_features ; Square differences max 5.582948245121225e-21
2019-08-18 16:16:32,217 ; DEBUG    ; MainLogger ; arq_features ; Avg differences is 9.143411949712531e-23
2019-08-18 16:16:32,218 ; INFO     ; MainLogger ; arq_features ; Calculation of Fractal Dimension
